DeltaFuel,TimeStamp,valid_fuel,before_avg,after_avg
354.8799999999999,2024-11-01T12:59:30.000000,1969.28,964.896,3116.3839999999996
1151.68,2024-11-01T14:32:00.000000,3120.96,1130.336,3114.272
2132.48,2024-11-02T13:54:00.000000,3099.84,972.4480000000001,3103.0080000000007
1973.7600000000002,2024-11-03T12:55:30.000000,3096.32,1113.408,3088.576
1527.6799999999998,2024-11-04T01:56:00.000000,3142.08,1598.3999999999999,3150.88
1056.9599999999998,2024-11-04T20:35:30.000000,2798.72,1015.744,3053.76
1615.3600000000001,2024-11-05T23:21:00.000000,2631.04,1040.192,2650.3680000000004
1449.92,2024-11-06T12:55:00.000000,2848.0,1402.304,3108.96
2056.0,2024-11-07T09:45:00.000000,3039.68,984.9280000000001,3069.184
1403.84,2024-11-08T00:58:30.000000,3145.6,1735.136,3144.192
2152.64,2024-11-09T01:55:00.000000,3128.0,981.344,3148.064
2142.72,2024-11-10T05:32:30.000000,3029.12,880.992,3048.6400000000003
2182.3999999999996,2024-11-11T03:18:30.000000,2975.68,804.8319999999999,3006.2399999999993
2307.84,2024-11-12T05:34:00.000000,3004.48,701.5360000000001,3029.888
2359.04,2024-11-13T00:54:30.000000,3106.88,748.4159999999999,3133.984
2153.92,2024-11-13T20:43:30.000000,2848.0,699.6160000000001,2844.448
2194.88,2024-11-15T04:48:30.000000,3054.08,864.448,3059.7120000000004
1859.8400000000001,2024-11-16T04:28:00.000000,2656.0,793.7919999999999,2644.3520000000003
2031.04,2024-11-17T01:55:00.000000,2778.88,744.416,2788.8640000000005
2059.84,2024-11-17T15:41:00.000000,3054.08,1015.4559999999999,3055.3920000000003
2192.3199999999997,2024-11-18T10:21:00.000000,3032.64,851.2,3085.0559999999996
2147.2,2024-11-19T08:14:00.000000,3047.04,909.568,3070.272
2295.68,2024-11-20T08:14:30.000000,3015.04,726.24,3023.4880000000003
2173.76,2024-11-21T10:02:30.000000,3011.52,838.2720000000002,3025.312
2210.88,2024-11-22T10:18:00.000000,2902.08,689.7279999999998,2898.9759999999997
2185.2799999999997,2024-11-23T14:15:30.000000,3071.68,883.3920000000002,3086.816
2312.0,2024-11-24T14:47:30.000000,2997.44,693.0880000000001,3019.616
2288.3199999999997,2024-11-26T14:39:30.000000,3064.64,779.3280000000001,3101.952
2027.84,2024-11-27T09:54:30.000000,3022.08,987.5840000000001,3052.9280000000003
1636.1600000000003,2024-11-28T04:39:30.000000,2769.28,1141.184,2783.4559999999997
2139.84,2024-11-28T23:02:30.000000,3004.48,876.0,3034.848
2062.4,2024-11-29T17:28:30.000000,2997.44,947.0720000000001,3017.5360000000005
